run_name,n_rows,start_event_time,end_event_time,median_event_gap_ms,mean_spread,median_spread,quote_change_share,mean_imbalance_1,mean_imbalance_5,mean_imbalance_10
20260501_153914,555,1777631958245,1777632014897,102.0,0.10036036036036035,0.1,0.03963963963963964,-0.549875716852559,-0.5135823813221059,-0.5188034990146007
20260610_200438,571,1781103880391,1781103938549,102.0,0.10175131348511382,0.1,0.24518388791593695,0.03347872492486364,0.04052052420391627,0.060445566881979516
20260610_200614,571,1781103976903,1781104035065,102.0,0.11120840630472853,0.1,0.17162872154115585,0.09960879022842235,0.09687319298067382,0.08861636629477458
20260610_200753,572,1781104076073,1781104134329,102.0,0.10157342657342656,0.1,0.19405594405594406,-0.012278918314032631,0.006867531001067876,0.012019293821830262
20260610_200933,571,1781104175853,1781104234009,102.0,0.10140105078809106,0.1,0.18038528896672504,-0.02560664142474501,-0.05758253008946559,-0.09760754576529787
20260610_201111,571,1781104273903,1781104332059,102.0,0.10122591943957968,0.1,0.19089316987740806,0.07593063072926037,0.040632369049181626,0.03029820745155395
20260610_201249,566,1781104372561,1781104430207,102.0,0.10300353356890458,0.1,0.19257950530035337,0.11647309487916972,0.0668941299577441,0.079788178307327
20260610_201428,571,1781104471117,1781104529275,102.0,0.1019264448336252,0.1,0.14535901926444833,-0.1153365489977382,-0.1255016953672594,-0.133869475009299
20260610_201605,572,1781104567733,1781104625983,102.0,0.11153846153846152,0.1,0.19230769230769232,0.08595042539713754,0.09107965468348478,0.11077160763982176
20260701_191230,2918,1782915153710,1782915451262,102.0,0.1190884167237834,0.1,0.3207676490747087,0.019424423933617038,0.029805733921836886,0.03233768002913321
20260701_191745,2916,1782915469010,1782915766395,102.0,0.10298353909465019,0.1,0.20027434842249658,0.03930269607984522,0.04391945875044233,0.053106161719044975
20260701_192258,2918,1782915781185,1782916078736,102.0,0.10328992460589444,0.1,0.14496230294722412,-0.003027513461659252,0.019970187333916797,0.03908477499170314
20260701_192811,2918,1782916094546,1782916392103,102.0,0.10143934201507881,0.1,0.15352981494174092,-0.07054745481233429,-0.06203845129582208,-0.04416980429748485
20260701_193325,2919,1782916408733,1782916706378,102.0,0.10373415553271668,0.1,0.18670777663583418,-0.005860624367031607,0.011744921803034557,0.022344792817514263
20260701_193836,2918,1782916719640,1782917017206,102.0,0.10126799177518847,0.1,0.16895133653187114,0.048747249005697664,0.05881077546031897,0.07169457959199996
20260701_194351,2918,1782917034856,1782917332424,102.0,0.1037354352296093,0.1,0.18711446196024675,-0.009407418027807528,-0.013254335878513676,-0.007392662248854727
20260701_194906,2918,1782917348948,1782917646512,102.0,0.10462645647703905,0.1,0.14324880054832076,0.10841805450745183,0.1129749452829836,0.13211765636649017
20260701_195416,2919,1782917659674,1782917957336,102.0,0.1001027749229188,0.1,0.11031175059952038,-0.12772688613887762,-0.13301618613372612,-0.13095766480887583
20260701_195929,2918,1782917972024,1782918269584,102.0,0.10157642220699108,0.1,0.12919808087731321,0.030090125447275323,0.03349457344446424,0.04002888083104286
20260701_200443,2919,1782918285904,1782918583574,102.0,0.10339157245632065,0.1,0.2535114765330593,-0.009811824366650016,-0.008386960804901335,0.004467450381203903
20260701_200954,2918,1782918597854,1782918895444,102.0,0.10085675119945166,0.1,0.13296778615490062,-0.03564342230890997,-0.0070302294368614305,0.01722490192964493
20260703_193714,1148,1783089438011,1783089555009,102.0,0.09999999999999999,0.1,0.054878048780487805,-0.22329747071668465,-0.24734703770428826,-0.2700207463015196
20260704_125643,2912,1783151807954,1783152104922,102.0,0.09999999999999999,0.1,0.016483516483516484,-0.04810619779828483,-0.14440797011066345,-0.16538522264855154
