run_name,rows,rows_with_trades,share_rows_with_trades,total_trades_assigned,total_buy_trades,total_sell_trades,total_trade_volume,total_buy_trade_volume,total_sell_trade_volume,total_signed_trade_volume,mean_trade_imbalance,mean_trade_imbalance_rolling_20e
20260703_193714,1148,379,0.33013937282229966,1309.0,574.0,735.0,116.208,58.881,57.327,1.553999999999995,-0.004207782111072848,-0.07754953665196103
20260704_125643,2912,737,0.25309065934065933,1465.0,626.0,839.0,146.992,71.347,75.645,-4.298000000000004,-0.032263991628048334,-0.17608509069590947
20260704_130157,2913,622,0.2135255750085822,1079.0,399.0,680.0,131.829,47.114000000000004,84.715,-37.601000000000006,-0.06886909437626935,-0.40635808635062104
20260704_130711,2912,560,0.19230769230769232,1056.0,353.0,703.0,117.37899999999999,27.743000000000002,89.636,-61.89299999999999,-0.048125759756639915,-0.2832523802143503
20260704_131225,2912,602,0.20673076923076922,1226.0,571.0,655.0,67.84800000000001,36.524,31.323999999999998,5.200000000000005,-0.018603753493773082,-0.15421192330246108
20260704_131740,2913,663,0.22760041194644695,1226.0,826.0,400.0,120.29,84.38499999999999,35.905,48.48,0.04747093427636652,0.1614030719812778
20260704_132254,2913,525,0.18022657054582905,1051.0,545.0,506.0,100.998,48.429,52.569,-4.139999999999997,0.015372844014985686,0.05132029525515262
20260704_132808,2913,463,0.15894267078613114,928.0,460.0,468.0,102.72999999999999,48.24499999999999,54.485,-6.240000000000002,-0.016075478491471472,-0.1417373091886735
20260704_133321,2912,701,0.24072802197802198,2037.0,1332.0,705.0,225.673,179.97,45.703,134.267,0.05425382136292992,0.3812794501723471
20260704_133834,2913,874,0.3000343288705802,6230.0,3200.0,3030.0,1036.974,578.131,458.8429999999999,119.28799999999998,-0.03368757701016989,-0.08400827188036225
20260704_134349,2912,674,0.23145604395604397,1423.0,957.0,466.0,136.165,89.43799999999999,46.727000000000004,42.711,0.018326358446998498,0.1127365387797907
20260704_134903,2912,777,0.2668269230769231,1413.0,739.0,674.0,162.058,92.901,69.157,23.744,-0.006808923953714745,0.035906471840807884
20260704_135418,2913,813,0.27909371781668385,2063.0,649.0,1414.0,282.337,52.519,229.818,-177.29899999999998,-0.08293886654342957,-0.4566576364085704
20260704_135929,2913,943,0.3237212495708891,3011.0,1194.0,1817.0,353.03799999999995,118.426,234.61199999999997,-116.186,-0.06741406198726133,-0.3922231625408762
20260704_140444,2913,1048,0.35976656368005494,2853.0,1374.0,1479.0,269.875,120.61599999999999,149.259,-28.643000000000008,-0.08795729218293814,-0.21887464390643624
20260704_141000,2913,845,0.2900789564023344,1746.0,737.0,1009.0,103.10499999999999,62.867,40.238,22.628999999999994,-0.10236223753881658,-0.20212795583536583
20260704_141515,2913,726,0.24922760041194644,1227.0,578.0,649.0,82.69,42.785999999999994,39.903999999999996,2.8819999999999952,-0.050965218476488744,-0.07752727343716664
20260704_142028,2913,869,0.2983178853415723,1921.0,636.0,1285.0,208.73,51.417,157.313,-105.896,-0.11900196434486182,-0.30835162834042856
20260704_142541,2912,787,0.270260989010989,1366.0,694.0,672.0,116.40100000000001,57.96699999999999,58.434,-0.4670000000000085,-0.04706226230413841,-0.13831968274021722
20260704_143056,2912,703,0.24141483516483517,1526.0,611.0,915.0,119.477,44.998000000000005,74.47899999999998,-29.481,-0.07440424662126444,-0.29532708014613995
20260704_143609,2913,1007,0.3456917267421902,2384.0,997.0,1387.0,219.907,80.75500000000001,139.152,-58.396999999999984,-0.07788664399990816,-0.1364833135745377
20260704_144124,2913,681,0.23377960865087538,1452.0,885.0,567.0,175.863,133.69400000000002,42.169,91.52499999999998,0.032203313751296044,0.217522588936957
20260704_144638,2913,788,0.2705115001716443,1627.0,901.0,726.0,107.34299999999999,76.74000000000001,30.603,46.137,0.013520634175809502,0.2632919796792222
20260704_145150,2913,719,0.2468245794713354,1403.0,877.0,526.0,107.81899999999999,83.39,24.429,58.961,0.05141724381419792,0.3135614432420274
20260704_145704,2913,825,0.28321318228630277,1019.0,545.0,474.0,61.9,23.083,38.817,-15.733999999999998,0.04693433770000414,0.08080759158891715
20260707_185956,2911,2158,0.7413260048093439,27091.0,13309.0,13782.0,2469.792,1018.9590000000001,1450.8329999999999,-431.874,0.061810017439440014,0.04624893857843592
20260707_190511,2912,1847,0.634271978021978,16958.0,8613.0,8345.0,1186.087,688.268,497.81899999999996,190.44899999999996,0.06068421040869688,0.06106881489667095
20260707_191023,2911,1615,0.5547921676399863,12305.0,5958.0,6347.0,632.62,300.284,332.336,-32.05199999999999,-0.002896461393926165,-0.019955812337980612
